Author_Name,Title,Elapsed_Time,Num_Comments,Number_of_Upvotes,Author_Tier,Author_Discussion_Tier,Num_Followers,Discussion_Golds,Discussion_Silvers,Discussion_Bronzes,Current_Discussion_Rank,Highest_Discussion_Rank,Discussion_link
Kashan,"30 Days of ML Challenge, Say Hello!",7 months,29,1176,Contributor,Contributor,22,14,3,1,Unranked,Unranked,https://www.kaggle.com/getting-started/256489
Zeeshan-ul-hassan Usmani,How to Become a Data Scientist at Your Own,4 years,436,953,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/44915
DanB,Should You Worry That There Aren't Any New Homes in The Data,4 years,3334,689,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/60581
Firat Gonen,Andrew NG's Notes! 100 Pages pdf + Visual Notes! [3rd Update],3 years,674,678,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/102365
Alexis Cook,Just launched: Course certificates,2 years,375,388,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/125806
Ouassim Adnane,Some of the Best Kaggle Competitions for Beginners V2,3 years,68,372,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/78482
Zeeshan-ul-hassan Usmani,How to Win Kaggle Competitions,4 years,55,355,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/44997
Firat Gonen,Data Science Cheat Sheets (all of them in one place !),3 years,298,308,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/104203
Leustagos,Advice to newbies,9 years,58,263,Grandmaster,Expert,358,199,11,7,2359,33,https://www.kaggle.com/getting-started/5003
Pranav Anand,Machine Learning Algorithms Cheatsheet [Python/R],2 years,560,258,Expert,Expert,54,94,8,3,777,155,https://www.kaggle.com/getting-started/156497
Jakob Langenbahn,Projects for Beginner,2 years,109,243,Contributor,Contributor,18,2,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/114864
Alexis Cook,Python Course Discussion,2 years,2088,241,Team,Expert,4494,134,14,16,Unranked,Unranked,https://www.kaggle.com/getting-started/161283
DanB,Learning Materials on Kaggle,5 years,163,235,Grandmaster,Expert,8017,207,17,10,1194,132,https://www.kaggle.com/getting-started/39193
Firat Gonen,Beginner's 1st Stop! All you Need for a Great Start. Bookmark ! (Several topics combined),2 years,207,234,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/108810
Zeeshan-ul-hassan Usmani,Kaggle Progression and Rankings,4 years,143,227,Grandmaster,Expert,3139,123,5,8,982,50,https://www.kaggle.com/getting-started/44919
Aadith Ramia,What tools do people generally use to solve problems?,9 years,268,213,Contributor,Contributor,2,1,0,0,Unranked,Unranked,https://www.kaggle.com/getting-started/3642
Ravi Chaubey,Andrew NG's ML Notes! 150 Pages PDF !! [2nd Update],2 years,234,211,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/145431
Ramona Fli,Best Kaggle competitions for beginners,4 years,95,197,Contributor,Contributor,12,8,1,0,Unranked,Unranked,https://www.kaggle.com/getting-started/44088
Ouassim Adnane,📝 List of data science cheat sheet with Python [Updated 3],3 years,80,173,Master,Master,260,262,38,23,411,50,https://www.kaggle.com/getting-started/78118
Muhammad Hamza Javed,16 Courses for Aspiring Data Scientists,4 years,129,165,Contributor,Contributor,47,6,0,1,Unranked,Unranked,https://www.kaggle.com/getting-started/62973
Ravi Chaubey,Top 10 Machine Learning Projects for Beginners !!,2 years,27,165,Master,Master,364,219,35,15,319,56,https://www.kaggle.com/getting-started/150260
Vetrivel-PS,Video ✔️ How Beginners can start Kaggle 💥💯😄 Sharing my Kaggle Expert Journey,2 years,299,154,Expert,Expert,363,94,2,6,491,260,https://www.kaggle.com/getting-started/181267
Firat Gonen,Top 10 Starter Online Machine Learning Courses for Beginners! [3rd Update],3 years,145,146,Grandmaster,Grandmaster,2368,679,21,57,155,11,https://www.kaggle.com/getting-started/103513
